,B cells,CD4+ T cells,CD8+ T cells,Dendritic cells,Endothelial,Epithelial,Fibroblasts,Macrophages,NK cells,Plasma cells,Unassigned,n_cells,spot_x,spot_y
spot_3922,0.0,0.0,0.08695652173913043,0.0,0.0,0.17391304347826086,0.08695652173913043,0.5652173913043478,0.0,0.0,0.08695652173913043,23,,
spot_3923,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.4666666666666667,0.26666666666666666,0.0,0.0,0.2,15,,
spot_3924,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.0,0.0,0.1111111111111111,18,,
spot_3925,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,5,,
spot_3926,0.0,0.0,0.125,0.0,0.0,0.375,0.25,0.125,0.0,0.0,0.125,8,,
spot_3927,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.09523809523809523,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,21,,
spot_3928,0.0,0.0625,0.125,0.0625,0.0,0.125,0.125,0.5,0.0,0.0,0.0,16,,
spot_3929,0.0,0.05263157894736842,0.15789473684210525,0.0,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.0,0.0,0.0,19,,
spot_3930,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,9,,
spot_3931,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.18181818181818182,0.36363636363636365,0.0,0.0,0.0,0.18181818181818182,11,,
spot_3932,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0,0.0,0.15384615384615385,13,,
spot_3933,0.0,0.047619047619047616,0.19047619047619047,0.0,0.0,0.047619047619047616,0.5238095238095238,0.19047619047619047,0.0,0.0,0.0,21,,
spot_3934,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.0,0.0,0.23076923076923078,13,,
spot_3935,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,6,,
spot_3936,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.4117647058823529,0.0,0.0,0.0,17,,
spot_3937,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,14,,
spot_3938,0.0,0.1,0.2,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.2,10,,
spot_4031,0.0,0.1,0.1,0.0,0.1,0.0,0.55,0.15,0.0,0.0,0.0,20,,
spot_4032,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.6,0.16666666666666666,0.0,0.0,0.0,30,,
spot_4033,0.0,0.0,0.3125,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.1875,16,,
