cell_type,gene,score,pval_adj
Epithelial,NDUFA4,81.73209381103516,0.0
Epithelial,MT1E,80.77044677734375,0.0
Epithelial,NDUFC1,80.47567749023438,0.0
Epithelial,LDHB,80.02339172363281,0.0
Epithelial,LGALS2,79.93209838867188,0.0
Epithelial,COX7B,79.88330078125,0.0
Epithelial,PRAP1,79.61463928222656,0.0
Epithelial,ALDOB,79.45963287353516,0.0
Epithelial,GLYAT,79.1304931640625,0.0
Epithelial,NDUFB1,78.7369384765625,0.0
Epithelial,DCXR,78.72053527832031,0.0
Epithelial,MGST1,78.2835693359375,0.0
Epithelial,C11orf54,78.17108154296875,0.0
Epithelial,SOD1,77.28575134277344,0.0
Epithelial,KHK,76.91171264648438,0.0
Epithelial,UGT2B7,76.89578247070312,0.0
Epithelial,HPD,76.8112564086914,0.0
Epithelial,NAT8,76.7514877319336,0.0
Epithelial,MT1H,76.62220001220703,0.0
Epithelial,ASS1,76.31554412841797,0.0
Epithelial,ATP5D,76.12997436523438,0.0
Epithelial,OCIAD2,75.93972778320312,0.0
Epithelial,PPDPF,74.3649673461914,0.0
Epithelial,NDUFA3,74.17666625976562,0.0
Epithelial,ATPIF1,73.96627807617188,0.0
Endothelial,VWF,82.9742431640625,0.0
Endothelial,PECAM1,82.7085952758789,0.0
Endothelial,FLT1,82.57588958740234,0.0
Endothelial,IFI27,82.15545654296875,0.0
Endothelial,RAMP2,80.85807800292969,0.0
Endothelial,SLC9A3R2,78.6423568725586,0.0
Endothelial,PLVAP,78.34983825683594,0.0
Endothelial,EPAS1,77.34868621826172,0.0
Endothelial,SPARC,76.16256713867188,0.0
Endothelial,TIMP3,76.13394927978516,0.0
Endothelial,SPRY1,75.96104431152344,0.0
Endothelial,HSPG2,75.61760711669922,0.0
Endothelial,SDPR,74.43709564208984,0.0
Endothelial,PLPP1,74.4111328125,0.0
Endothelial,GNG11,73.84734344482422,0.0
Endothelial,TGFBR2,73.62158203125,0.0
Endothelial,RAMP3,73.4693603515625,0.0
Endothelial,SOCS3,72.86421203613281,0.0
Endothelial,TM4SF1,72.7312240600586,0.0
Endothelial,RNASE1,71.75608825683594,0.0
Endothelial,APP,70.47394561767578,0.0
Endothelial,TCF4,69.18952941894531,0.0
Endothelial,SPARCL1,69.0608901977539,0.0
Endothelial,ENG,68.97071838378906,0.0
Endothelial,PCAT19,68.61214447021484,0.0
Endothelial,APOLD1,66.99317932128906,0.0
Endothelial,LDB2,65.54449462890625,0.0
Endothelial,RGCC,65.36788940429688,0.0
Endothelial,EGFL7,64.70115661621094,0.0
Endothelial,GSN,64.69459533691406,0.0
Endothelial,HLA-E,63.7517204284668,0.0
Endothelial,CD34,63.30387878417969,0.0
Endothelial,SEC14L1,63.115211486816406,0.0
Endothelial,EMCN,62.13255310058594,0.0
Endothelial,EMP1,61.22552490234375,0.0
Endothelial,VAMP5,61.19406509399414,0.0
Endothelial,PODXL,61.04146194458008,0.0
Endothelial,A2M,60.876468658447266,0.0
Endothelial,FKBP1A,60.094703674316406,0.0
Endothelial,IGFBP4,59.84278869628906,0.0
Endothelial,SPTBN1,59.66862487792969,0.0
Endothelial,MGP,58.863990783691406,0.0
Endothelial,ADGRL4,58.71889877319336,0.0
Endothelial,RBP7,58.62681579589844,0.0
Endothelial,INSR,58.60984420776367,0.0
Endothelial,NPDC1,58.513938903808594,0.0
Endothelial,PLPP3,57.99491882324219,0.0
Endothelial,HES1,57.83906555175781,0.0
Endothelial,IGFBP7,57.83692932128906,0.0
Endothelial,AQP1,57.29440689086914,0.0
