"","JSD","RMSE_Value","Sum_RMSE","CellType","MAE_Value","Sum_MAE","corr","Replicate","Method","Reference","Pattern"
"3396",0.124294647973388,0.0699406124348925,0.0519787678366801,"'Cancer Epithelial'",0.069403180714424,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3397",0.124294647973388,0.0699406124348925,0.0519787678366801,"'Endothelial'",0.0067985627357637,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3398",0.124294647973388,0.0699406124348925,0.0519787678366801,"'Myeloid'",0.0256100737653128,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3399",0.124294647973388,0.0699406124348925,0.0519787678366801,"'Normal Epithelial'",0.00364540149878408,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3400",0.124294647973388,0.0699406124348925,0.0519787678366801,"'PVL'",0.00802521483024781,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3401",0.124294647973388,0.0699406124348925,0.0519787678366801,"'Plasmablasts'",0.0049010317779449,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3402",0.124294647973388,0.0699406124348925,0.0519787678366801,"'T-cells'",0.0352001798728582,0.0236072872756444,0.968780917438029,1,"RCTD","Full","Mixed"
"3403",0.138266588537426,0.0401588188259861,0.0561116073294643,"'B-cells'",0.0198292147054261,0.0254609319883846,0.963381816183901,2,"RCTD","Full","Mixed"
"3404",0.138266588537426,0.0401588188259861,0.0561116073294643,"'CAFs'",0.0460795350098209,0.0254609319883846,0.963381816183901,2,"RCTD","Full","Mixed"
"3405",0.138266588537426,0.0401588188259861,0.0561116073294643,"'Cancer Epithelial'",0.0730298545861965,0.0254609319883846,0.963381816183901,2,"RCTD","Full","Mixed"
"3406",0.138266588537426,0.0401588188259861,0.0561116073294643,"'Endothelial'",0.0063991477196511,0.0254609319883846,0.963381816183901,2,"RCTD","Full","Mixed"
