,CD4+ T cells,CD8+ T cells,Macrophages,B cells,Endothelial,Epithelial,Fibroblasts,assigned_type,confidence,doublet_flag
bafhnopd-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3390996101433258,False
bafinlhn-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.5511818696993354,False
bafjgakc-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.582268069144394,False
baflmdpi-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2311260030536255,False
bafodhmb-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2207412235658105,False
bafohaog-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3861144261732228,False
bafohklk-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1824880691258922,True
bafojgmb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3283107484548328,True
bagajieo-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2554538752815317,False
bagamdmm-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.2477754764327733,False
bagcckef-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bagdkoic-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2356410595316265,False
bagepgbn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bagfhhdj-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2484015166925117,False
baggjnah-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.3694130823363967,False
baghbglb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2453004269159764,True
bagiglnh-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2028634031188899,True
bagkbgfp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bagklamd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baglcaml-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.322753340458805,True
bagmchhg-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.4263602595322096,True
bagmcmlj-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4178272309416162,False
bagmimlc-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2156021879549065,True
bagmplli-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3980791010536395,True
bagnmbpm-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Endothelial,0.5565520865650064,True
bagplajl-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2088128430683168,True
bagpoaoc-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2477328025685062,True
bahcknbe-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2540331565768743,False
bahcmmoc-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.4404373789399792,False
bahfcamc-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1690313954431219,True
bahfgmmn-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.7673400747042041,False
bahgagbl-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.3262822700673914,True
bahhihob-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bahhjomd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
bahjjmif-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3127817438150521,True
bahjkclm-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.5555484560767194,False
bahlihlj-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2844427262468222,False
bahllclf-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3128060993499468,True
bahmbika-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.1890101142978326,True
bahmlaig-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.5126587883457989,False
bahmllpp-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.221945843956184,True
bahnhggi-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.431045779175439,True
bahpflni-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3816297381814407,False
bahpknbd-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.5518497087085826,False
baiajmmd-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2202514915449877,True
baichbab-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4300527761338605,False
baicnggj-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.5195902640554716,True
baicnjpm-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.2372129636563505,True
baidefen-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.3728845217064614,False
baidjmah-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2882402170328214,False
bailapmi-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.24749378861551,False
baimajjd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unassigned,0.0,False
baiollkb-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.5208596639399731,True
baiomopg-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4113756504969814,True
bajakigb-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.6742665628661473,True
bajdheec-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.6349993169803786,True
bajdibjg-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3184140353534399,False
bajffkpk-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Macrophages,0.4009270762356133,False
bajfpekf-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.4105382453592335,True
bajgajjm-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CD8+ T cells,0.2773923804039068,True
bajgdnlm-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CD4+ T cells,0.3152746342342714,True
bajmkefn-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.277274045562507,True
bajnfmii-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,B cells,0.2524116413240251,False
