cell_type,gene,score,pval_adj
Normal Epithelial,NFIB,40.35900115966797,0.0
Normal Epithelial,KLF5,40.35157775878906,0.0
Normal Epithelial,MT1X,40.309627532958984,0.0
Normal Epithelial,ACTG1,40.27018356323242,0.0
Normal Epithelial,SAA1,40.050209045410156,0.0
Normal Epithelial,MAFF,39.74049377441406,0.0
Normal Epithelial,RPL18,39.35710906982422,0.0
Normal Epithelial,CYR61,39.046688079833984,0.0
Normal Epithelial,MT-ND1,38.69878387451172,0.0
Normal Epithelial,MT-CYB,38.60783767700195,0.0
Normal Epithelial,CD9,38.362022399902344,0.0
Normal Epithelial,RPS3A,38.33128356933594,0.0
Normal Epithelial,SFN,38.08242416381836,0.0
Normal Epithelial,DSP,37.619754791259766,5.4479520685191136e-307
Normal Epithelial,AK5,37.608360290527344,8.208416628303113e-307
Normal Epithelial,RPL7A,37.56000518798828,4.965738784371943e-306
B-cells,HLA-DRA,34.65926742553711,8.978538485612642e-259
B-cells,CD74,34.280479431152344,2.1252217165717114e-253
B-cells,MS4A1,31.78696060180664,9.056954032330789e-218
B-cells,CD37,31.69516372680664,1.2552051922929698e-216
B-cells,HLA-DPA1,27.607675552368164,4.98931020048757e-164
B-cells,HLA-DPB1,27.33315086364746,7.912902475665662e-161
B-cells,HLA-DQA1,27.020097732543945,2.9734717634587127e-157
B-cells,CD83,26.747547149658203,4.061183090331044e-154
B-cells,LAPTM5,26.280786514282227,8.815626258804073e-149
B-cells,HLA-DRB1,26.227859497070312,3.222692108645348e-148
B-cells,RPS27,25.98905372619629,1.5210271444365733e-145
B-cells,HLA-DRB5,25.7952823638916,2.13574218520999e-143
B-cells,CD79A,25.216796875,5.189809200236793e-137
B-cells,RPS23,24.554723739624023,7.115732410818133e-130
B-cells,RPL28,24.451629638671875,7.884286417810523e-129
B-cells,RPL18A,24.146677017211914,1.1804894475009995e-125
B-cells,RPL13,23.76307487487793,1.1155792689681897e-121
B-cells,RPL32,23.449493408203125,1.6854572684334143e-118
B-cells,RPL30,22.8541259765625,1.535725273231399e-112
B-cells,CD69,22.701400756835938,4.811537751722627e-111
B-cells,RPL11,22.6062068939209,4.01434801086414e-110
B-cells,RPL39,22.146875381469727,1.1068719700692811e-105
B-cells,HLA-DQB1,21.720308303833008,1.1078498733790228e-101
B-cells,RPS12,21.593595504760742,1.5885983607267796e-100
B-cells,FAU,21.362924575805664,2.1570443826802276e-98
B-cells,EEF1B2,21.055437088012695,1.3784793078831256e-95
B-cells,CXCR4,20.757543563842773,6.754882898910007e-93
B-cells,RPS27A,19.815950393676758,1.1132536680793555e-84
B-cells,RPS25,19.708837509155273,8.963055723568565e-84
B-cells,CD52,19.614389419555664,5.474715824102407e-83
B-cells,BTG1,19.305635452270508,2.153133476419183e-80
B-cells,RPS28,19.119850158691406,7.594168967178124e-79
B-cells,RPL19,19.005859375,6.60610828760577e-78
B-cells,BANK1,18.793315887451172,3.440982252086411e-76
B-cells,RPSA,18.572031021118164,2.054880442715595e-74
B-cells,LTB,18.403278350830078,4.631824885271938e-73
B-cells,RPS8,18.37899398803711,7.152496540087548e-73
B-cells,RPS5,17.845361709594727,1.036374576824058e-68
B-cells,RPS19,17.78746223449707,2.882593607056264e-68
B-cells,RPL34,17.292612075805664,1.5768352504086283e-64
B-cells,RPS21,17.283740997314453,1.819762278694725e-64
B-cells,REL,17.138452529907227,2.168392678635684e-63
B-cells,IRF8,16.962087631225586,4.257847529862539e-62
B-cells,TSC22D3,16.892480850219727,1.349210510060796e-61
B-cells,RPLP2,16.858747482299805,2.3441362486532687e-61
B-cells,RPS15,16.793399810791016,6.750541722278145e-61
B-cells,HLA-DQA2,16.75541877746582,1.2680833538275514e-60
B-cells,RPLP1,16.596458435058594,1.7365621580947958e-59
B-cells,RPS13,16.58708381652832,2.0129075824429384e-59
B-cells,RPL18,16.133689880371094,3.059660085371467e-56
