marker_a,marker_b,colocalization_score,jaccard_index,co_occurrence_spots,co_occurrence_fraction,pearson_r,spearman_rho,correlation_pvalue,neighbor_enrichment_ab,neighbor_enrichment_ba,neighbor_enrichment_pvalue,mutual_neighbor_enrichment
CD8A,PTEN,0.5131488851971051,0.05666392431098313,2755,0.02672344388076785,-0.1649842396028051,-0.22727393959578543,0.0,0.9349878665730997,0.9296132357130573,1.0,0.9323005511430785
CD138,CD45,0.5129047056527664,0.005079049873978462,133,0.0012900972907956894,0.0013345406451067334,0.003682123337423914,0.6682939595249935,1.2226684484257984,1.1923678907621984,0.005,1.2075181695939983
PD-L1,PTEN,0.5122160995364772,0.014002844327754074,384,0.0037247921779364262,-0.012940869089159025,-0.009161895639932631,0.003263774542430208,1.0219959938338101,1.0039700842774515,0.435,1.012983039055631
Ki-67,PD-1,0.5110572325692021,0.07005386119592438,2042,0.01980735840454735,0.009577416923888114,0.005066894524998015,0.10376381653995799,1.0219839230012269,1.0130248880990533,0.055,1.01750440555014
CD138,Ki-67,0.5108217569683093,0.008546187824082965,89,0.0008632981870738072,0.031018314587972648,0.01183794498186113,0.00014409809778492645,0.938967812542273,0.9496379013211627,0.88,0.9443028569317178
GranzymeB,PCNA,0.5099590035624126,0.012333268896191765,319,0.0030942935019836458,0.013953640851390335,0.02242338303688171,7.44988995161543e-06,1.0418331023445362,1.075971927773475,0.015,1.0589025150590055
CD138,CD45RO,0.509290672904186,0.0055681021727279805,143,0.001387097087096117,-0.0023030738828039594,-0.004099566754836445,0.4596245339211354,1.2433242209424133,1.2070014515596097,0.005,1.2251628362510116
CD20,Ki-67,0.5090066905581636,0.0049882352941176475,53,0.0005140989203922672,0.036493468452594505,-0.009413495603388352,0.0025067556674319663,0.7256020758650638,0.764323300331181,1.0,0.7449626880981224
LAG-3,CD4,0.5082561591900265,0.10146443514644352,3492,0.033872328868109376,-0.020959588403264885,0.02046542192447538,4.975524586127732e-11,1.1836374752601746,1.1675501188798438,0.005,1.1755937970700092
CD138,PD-1,0.5076410377877046,0.0054395026740412305,119,0.0011542975759750904,0.06370517257060074,-0.006396937318232838,0.03998236520008216,0.7484600818226465,0.7263017241371076,1.0,0.737380902979877
GranzymeB,HLA-DR,0.5074482285375961,0.012549914432401598,330,0.0032009932779141163,-0.00025230711117960633,0.04370181755661293,0.9354339717794458,1.0898970506776087,1.0737090037461292,0.005,1.081803027211869
HLA-DR,CD31,0.5073548522038249,0.13767127880725127,6159,0.05974217454143346,-0.11936171529369773,0.01805973431215902,6.669566609356476e-09,1.0182223715675511,0.9770294325685345,1.0,0.9976259020680428
Ki-67,CD3E,0.5066022063593307,0.06932956356964538,2305,0.0223584530472486,-0.0014534163861123154,-0.0016807938470157048,0.6407438997299212,0.9610382869595557,0.9494182975019962,1.0,0.955228292230776
GranzymeB,PD-L1,0.5064829255686008,0.013020833333333334,40,0.0003879991852017111,0.00904855684508114,0.014715231010630953,0.003668498979791728,1.1607994142275024,1.191708274369655,0.02,1.1762538442985786
CD138,CD11c,0.506428604984616,0.004968619246861925,38,0.00036859922594162554,0.005194699203609253,-0.0034013930331826775,0.2747836347511369,1.2374043690181713,1.2224598718078068,0.01,1.2299321204129892
CD163,CD45RA,0.5063907066179469,0.03356804238706079,963,0.009341080383731194,-0.01537745477992526,-0.009778630422813609,0.0016908093225848644,1.091701765719622,1.0675774998374032,0.005,1.0796396327785125
CD20,HLA-DR,0.5062657390877467,0.008088709983670679,213,0.0020660956611991115,0.020287006484098286,0.019268981088644548,6.116352024565022e-10,0.7698345633011221,0.7933680319447494,1.0,0.7816012976229357
CD16,CD31,0.5062430287901641,0.13827376545287295,6163,0.05978097445995363,-0.10394036894325753,0.03241709677176875,2.20603234796339e-25,1.036447933804849,1.006251937464738,0.05,1.0213499356347935
CD4,Vimentin,0.5062408338719591,0.0640830027464144,2310,0.022406952945398816,-0.021931755812478228,-0.08664723857377427,1.8864277589399297e-12,0.9673616478244592,0.9880352047831717,1.0,0.9776984263038155
GranzymeB,E-Cadherin,0.5060230395474912,0.013143568206564007,338,0.0032785931149544585,0.0010584170348214704,0.03471278104637253,0.7339818728054245,1.1941128158105856,1.1781592037011928,0.005,1.1861360097558893
CD138,PCNA,0.5055658072555357,0.0064430988976866945,166,0.001610196618587101,0.014849808957008116,-0.0041941125155911885,0.17809640512644875,0.8893293150650458,0.8943185398339941,1.0,0.8918239274495199
CD138,PD-L1,0.5053634399337643,0.005629838142153413,16,0.00015519967408068443,0.0184968133917054,0.001791839703062971,0.5650754753612655,0.6532345508398223,0.6580026862474122,1.0,0.6556186185436172
CD45RA,CD31,0.5052018983897821,0.042906158254041246,1213,0.011766075291241889,-0.016353690821241582,0.011673215346144997,0.00017815809338258369,1.0432725438089374,1.0741509763381067,0.015,1.058711760073522
GranzymeB,Ki-67,0.5051754741569658,0.01042645124929551,111,0.0010766977389347482,0.014058653234125695,0.009215896883983015,0.003085627744706458,1.0190686860581566,1.0367448397378984,0.245,1.0279067628980276
GranzymeB,VISTA,0.5051666428965561,0.01146087427885546,296,0.002871193970492662,0.001004351069451277,0.0315959096134911,0.7470934773806492,1.0437531240145324,1.0251414778572412,0.12,1.0344473009358868
CD45RA,PD-L1,0.5051034163483267,0.012758674342617083,82,0.0007953983296635078,0.0036918656128096905,-0.0033543687247554084,0.2814740155138617,1.1372418289907553,1.152453343900823,0.01,1.1448475864457892
Ki-67,VISTA,0.5049335344265029,0.06174110522331567,2039,0.01977825846565722,-0.0017951672435051087,-0.022875229887573574,0.5643532608682699,1.0269066091853067,1.0101079159342021,0.075,1.0185072625597544
CD11c,CD31,0.5046349481653359,0.0663775408859167,2005,0.019448459158235766,-0.02884120059091642,0.04938342334085843,2.0030873379329987e-20,0.9960798517276896,0.9826103958004262,0.97,0.9893451237640579
CD138,E-Cadherin,0.5044515992532206,0.005142589995324918,132,0.0012803973111656466,-0.0011564476139013144,-0.020796190275960677,0.7104074229923835,0.9929735847239278,0.986704812093095,0.685,0.9898391984085114
CD31,PCNA,0.5041758807231806,0.09895016553406517,4543,0.04406700745928434,-0.07251410402260874,-0.0729482226702443,3.248865279760965e-120,0.9492702070132014,1.021279191340794,1.0,0.9852746991769976
GranzymeB,CD68,0.5039833241714341,0.008743252489926252,230,0.0022309953149098386,0.0008541392699431994,0.016950726696676466,0.7838966523071698,1.047312015561174,1.0298863503276403,0.115,1.0385991829444072
Beta-catenin,VISTA,0.5038640938655861,0.07661729965473378,3373,0.032718031292134284,-0.03202693505837352,-0.08987869074448443,8.170042324063908e-25,0.9807723291471663,0.9878010172832815,1.0,0.9842866732152239
HLA-DR,Vimentin,0.5037756196970109,0.07680395111334337,3670,0.03559892524225699,-0.16133176708537145,-0.21546693975661163,0.0,0.9332616647842641,0.9279243500873582,1.0,0.9305930074358111
PanCK,PD-L1,0.5037454801038913,0.009401797706374625,91,0.0008826981463338927,0.01850691212285479,-0.018086489316502096,6.336243512369084e-09,0.8490381636956749,0.7826812975039253,1.0,0.8158597305998001
PD-L1,PCNA,0.5037364343292068,0.015370972509606859,416,0.004035191526097795,-0.006955662193600199,-0.03171131031457176,0.02552713692851802,1.0820992420328095,1.0990012596087408,0.005,1.0905502508207752
CD45RA,Vimentin,0.5031648284073227,0.031555814991587404,919,0.008914281280009312,-0.018861015366408863,-0.010642541715937636,0.0006327502771833085,0.8818287525633598,0.9088741476194673,1.0,0.8953514500914135
